log_id,rice_id,integration_name,integration_identifier,integration_version,instance_id,invoked_by,service_instance_name,oic_base_url,integration_status,log_timestamp,db_user,login_role,database_name,client_ip,client_port,server_ip,server_port,backend_pid,application_name
68,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,ulfgYI2kEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,ENDED,2026-08-01 21:00:08.699169,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,43004,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,6632,PostgreSQL JDBC Driver
69,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,4QYHJ429EfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,STARTED,2026-08-02 00:00:01.22533,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,43004,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,6632,PostgreSQL JDBC Driver
72,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,NZK05o3lEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,ENDED,2026-08-02 01:41:48.968285,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,43524,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,25931,PostgreSQL JDBC Driver
73,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,pZ-W243mEfGMCI3DebGvYQ,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,STARTED,2026-08-02 01:51:59.350462,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,50750,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,26729,PostgreSQL JDBC Driver
74,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,pZ-W243mEfGMCI3DebGvYQ,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,ENDED,2026-08-02 01:52:00.847588,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,50750,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,26729,PostgreSQL JDBC Driver
76,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,sSYHs43mEfGMCI3DebGvYQ,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,ENDED,2026-08-02 01:52:22.470008,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,50750,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,26729,PostgreSQL JDBC Driver
77,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,uFCifY3nEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,STARTED,2026-08-02 01:59:49.949962,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,56094,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,27490,Supavisor
80,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,DcLNhI3qEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,SUCCESS,2026-08-02 02:16:23.527174,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,34798,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,28192,PostgreSQL JDBC Driver
85,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,ZxU1go3rEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,SUCCESS,2026-08-02 02:26:02.666412,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,38794,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,29090,PostgreSQL JDBC Driver
91,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,KJJ0cY3wEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,SUCCESS,2026-08-02 03:30:04.003767,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,36826,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,34524,Supavisor
